DATE,EXCAUS,Month
2024-01-01,1.3423,2024-01
2024-02-01,1.35,2024-02
2024-03-01,1.3536,2024-03
2024-04-01,1.3674,2024-04
2024-05-01,1.3667,2024-05
2024-06-01,1.3705,2024-06
2024-07-01,1.3714,2024-07
2024-08-01,1.3655,2024-08
2024-09-01,1.3546,2024-09
2024-10-01,1.3757,2024-10
2024-11-01,1.3973,2024-11
2024-12-01,1.4247,2024-12
2025-01-01,1.4389,2025-01
2025-02-01,1.4299,2025-02
2025-03-01,1.4356,2025-03
2025-04-01,1.3981,2025-04
2025-05-01,1.3867,2025-05
2025-06-01,1.3668,2025-06
